#mpa_v30_CHOCOPhlAn_201901
clade_name	NCBI_tax_id	48K_relab	47K_relab	46K_relab	42K_relab	41K_relab	40K_relab	36K_relab	35K_relab	34K_relab	30K_relab	29K_relab	28K_relab	24K_relab	23K_relab	22K_relab	18K_relab	17K_relab	16K_relab	12K_relab	11K_relab	10K_relab	06K_relab	05K_relab	04K_relab
k__Bacteria	2	0.01611	1.16908	11.18783	34.82846	53.4399	27.601490000000002	43.53483	15.26503	22.33005	2.94198	1.8071099999999998	11.9793	16.21421	29.192590000000003	35.743390000000005	27.384690000000003	25.54909	21.9645	48.29547	30.915429999999997	15.16826	20.49418	19.60001	22.062920000000002
k__Bacteria|p__Actinobacteria	2|201174	0.01611	0.9479700000000001	1.28109	6.898339999999999	14.34472	6.90349	3.83837	4.91378	0.91924	0.95862	0.60642	1.86475	2.84891	9.85538	16.57514	10.08325	5.0155199999999995	0.8683299999999999	2.3729299999999998	1.4866700000000002	2.29288	2.48794	0.60414	0.78227
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.01611	0	0.17895999999999998	5.54595	12.348930000000001	5.47211	2.54957	2.0951	0	0.95862	0	0.72865	1.9996599999999998	8.62017	15.8442	9.06109	3.8686800000000003	0.16864	1.9950700000000001	0.41505	1.6561099999999997	2.1788	0.38240999999999997	0.78227
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	0.01611	0	0.17895999999999998	5.54595	12.348930000000001	5.47211	2.54957	2.0951	0	0.95862	0	0.72865	1.9996599999999998	8.62017	15.8442	9.06109	3.8686800000000003	0.16864	1.9950700000000001	0.41505	1.6561099999999997	2.1788	0.38240999999999997	0.78227
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	0.01611	0	0.17895999999999998	5.54595	12.348930000000001	5.47211	2.54957	2.0951	0	0.95862	0	0.72865	1.9996599999999998	8.62017	15.8442	9.06109	3.8686800000000003	0.16864	1.9950700000000001	0.41505	1.6561099999999997	2.1788	0.38240999999999997	0.78227
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	0.01611	0	0.17895999999999998	5.54595	12.348930000000001	5.47211	2.54957	2.0951	0	0.95862	0	0.72865	1.9996599999999998	8.62017	15.8442	9.06109	3.8686800000000003	0.16864	1.9950700000000001	0.41505	1.6561099999999997	2.1788	0.38240999999999997	0.78227
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	2|201174|1760|85004|31953|1678|216816	0.01611	0	0.17895999999999998	0.00983	0	0.04899	0.21993000000000001	0.47212	0	0	0	0	0	0	0.03921	0.03705	0.08613	0	0	0	0	0.01842	0.0726	0.26171
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	2|201174|1760|85004|31953|1678|28026	0	0	0	0.22093000000000002	0	0.42895	0	0.08002999999999999	0	0	0	0.11689000000000001	0	0.01172	0	0	0	0	0	0.01013	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudolongum	2|201174|1760|85004|31953|1678|1694	0	0	0	5.31519	12.348930000000001	4.9941699999999996	2.32964	1.54295	0	0.95862	0	0.6117600000000001	1.9996599999999998	8.60845	15.80499	9.02404	3.78255	0.16864	1.9950700000000001	0.40492	1.6561099999999997	2.16037	0.30981	0.52056
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0	0.9479700000000001	1.1021299999999998	1.3524	1.9957900000000002	1.4313799999999999	1.2888	2.81868	0.91924	0	0.60642	1.1361	0.84925	1.2352100000000001	0.73095	1.02216	1.1468399999999999	0.6996899999999999	0.37786	1.07162	0.63677	0.30914	0.22173	0
